yr_2007,cartodb_id,name,country_or,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
3609746,1,Afghanistan,Afghanistan,4778785,5166652,6013458,3174558,3598240,3192177,2750538,3374020,3280950,4404457,4250315,4132670,3600396,3713242,4434901,5166125,5336564
198970,2,Angola,Angola,705464,695600,736745,474278,328645,277950,255099,185186,158649,136078,133414,136546,110198,89743,54755,33135,33831
16982,3,Albania,Albania,9620,11604,15756,14920,13806,15301,16368,16828,17303,16166,16367,24512,28324,25370,52571,34853,30918
12,4,Andorra,Andorra,3,8,13,13,7,12,11,9,8,8,6,7,5,7,9,6,
318,5,United Arab Emirates,United Arab Emirates,25,49,69,45,82,46,277,267,440,453,500,608,156,170,204,277,325
1292,6,Argentina,Argentina,2172,2112,2104,1919,1307,1148,1073,1191,765,647,578,495,472,435,364,342,466
19419,7,Armenia,Armenia,11014,13286,18918,18129,17459,18317,20319,20105,104312,103029,102093,18860,17558,18809,19730,23831,25697
25,8,Antigua and Barbuda,Antigua and Barbuda,9,13,46,31,28,24,28,52,70,61,65,79,78,70,68,115,153
64,9,Australia,Australia,7,12,25,22,25,48,36,53,39,47,47,57,40,32,25,29,12
501,10,Austria,Austria,39,33,84,77,576,570,551,480,537,414,477,560,623,14,8,12,27
706482,11,Azerbaijan,Azerbaijan,862040,847477,842392,833494,863085,818646,818053,623520,607501,613763,619288,621651,627051,637992,633160,631339,633214
422601,12,Burundi,Burundi,634567,647812,735289,624070,584803,526722,460854,483626,231465,254567,357535,364877,331681,335068,509805,741889,791798
537,13,Belgium,Belgium,40,35,51,53,161,354,525,637,734,783,791,4007,2575,98,101,67,86
440,14,Benin,Benin,206,238,463,542,524,683,375,505,608,677,735,899,820,1061,1583,1670,1697
822,15,Burkina Faso,Burkina Faso,380,341,1157,1011,689,818,580,1042,1367,1650,1621,1980,2529,3450,4851,6569,10581
17578,16,Bangladesh,Bangladesh,8723,8997,10636,13836,265077,267471,311825,16810,12260,16559,15308,18345,32603,32977,42749,39796,84900
3725,17,Bulgaria,Bulgaria,3712,3630,4587,3946,3452,5471,4270,3340,3182,2687,2507,2291,2059,1841,1476,1066,1016
91,18,Bahrain,Bahrain,150,75,64,64,74,68,82,93,83,113,291,407,373,455,511,557,673
39,19,The Bahamas,Bahamas,11,24,162,19,21,19,33,40,47,47,222,234,237,257,297,420,608
215636,20,Bosnia and Herzegovina,Bosnia and Herzegovina,1103402,984173,886338,682862,559366,300893,342723,262186,246523,236755,232868,227161,190533,165787,176576,172078,167032
14202,21,Belarus,Belarus,3291,4830,8441,9913,20106,20271,19966,14281,14305,14213,14230,14183,11989,5286,5603,5780,6510
32,22,Belize,Belize,28,28,36,37,32,32,33,39,36,33,50,47,95,129,206,217,267
851,23,Bolivia,Bolivia (Plurinational State of),300,316,709,754,671,622,803,615,738,727,764,785,815,871,921,959,1373
1936,24,Brazil,Brazil,874,1052,1588,1645,1420,1054,1140,1773,1453,1244,1246,1328,1556,2182,3054,4585,7637
70,25,Barbados,Barbados,18,31,70,56,22,29,66,83,95,95,120,114,115,106,124,193,245
2,26,Brunei,Brunei Darussalam,,,2,1,1,49,2,1,1,20994,20994,21010,20525,2,5,5,10
112241,27,Bhutan,Bhutan,108989,110913,112578,114222,115740,117647,119530,106056,90078,76092,59009,41693,31734,23834,17947,12043,8333
72,28,Botswana,Botswana,8,8,16,23,13,15,43,179,227,241,260,255,275,304,376,399,365
301458,29,Central African Republic,Central African Rep.,255,29059,26053,41091,32725,44807,220848,323357,357477,358999,345395,255902,1154764,1490913,998858,968695,1436263
590,30,Canada,Canada,33,17,71,85,76,158,140,162,110,95,117,134,135,168,427,151,131
115,31,Switzerland,Switzerland,71,62,61,37,38,46,191,113,90,82,76,91,94,21,21,19,12
1101,32,Chile,Chile,1033,1044,2224,1871,1395,1030,885,1118,1492,1344,1313,1222,666,682,716,703,842
164632,33,China,China,128161,137204,157337,153664,154447,143495,157892,194801,198895,192348,201746,208819,219944,258562,270621,279918,297209
,34,Ivory Coast,Côte d'Ivoire,,,,,,,,,,,,,,,,85003,
14502,35,Cameroon,Cameroon,3560,4892,8074,9568,11369,13961,13771,16803,17024,17065,17664,16791,15670,16292,129278,238565,290997
25970,36,Democratic Republic of the Congo,Congo,37465,29164,35648,37714,36336,32958,34487,25070,23834,23793,24209,15009,15088,18076,18972,33057,134253
2784383,36,Democratic Republic of the Congo,Dem. Rep. of the Congo,408610,425008,487935,508592,526956,525941,2037662,1918418,2662810,2718550,3097186,3613559,4192444,4039313,2927949,3495239,5374533
25970,37,Republic of Congo,Congo,37465,29164,35648,37714,36336,32958,34487,25070,23834,23793,24209,15009,15088,18076,18972,33057,134253
3594870,38,Colombia,Colombia,539601,753570,1052657,1331600,2095328,2540118,3561766,3426209,3758138,4128031,4326881,4356289,5780528,6409190,7287877,7734658,7901883
139,39,Comoros,Comoros,122,106,80,106,571,577,84,418,281,381,455,503,840,930,784,816,911
39,40,Cape Verde,Cabo Verde,16,24,21,19,19,19,50,37,31,37,36,38,50,69,130,116,183
427,41,Costa Rica,Costa Rica,283,757,1828,1562,489,311,359,420,423,428,371,352,924,544,597,516,680
8596,42,Cuba,Cuba,23553,22493,20734,18307,17671,20684,34923,8820,9776,11881,8787,8572,8587,9470,9272,10975,18577
11,43,Cyprus,Cyprus,18,18,28,13,6,10,6,12,13,16,13,14,12,13,11,11,20
1522,44,Czech Republic,Czech Rep.,989,1390,7175,7056,4700,3792,2316,2148,3166,1977,1425,2333,2611,1431,1413,1511,1573
9287,45,Germany,Germany,1238,1087,1001,788,10760,9617,10210,9591,8483,8120,8250,5891,11965,268,256,206,236
680,46,Djibouti,Djibouti,2059,1092,586,593,535,722,598,716,784,798,889,952,1169,1309,1618,2282,3039
67,47,Dominica,Dominica,18,32,55,46,44,76,67,79,75,70,62,66,62,55,125,147,84
812,48,Denmark,Denmark,29,4,17,16,16,465,815,3705,3274,3229,3195,3633,4281,20,20,10,16
493,49,Dominican Republic,Dominican Rep.,97,172,227,217,246,146,273,588,637,642,603,647,211156,1497,2092,2711,3570
11972,50,Algeria,Algeria,10367,11171,14487,13603,12022,13433,9897,10596,9732,8405,8308,8147,7966,9075,11124,10900,10448
1614,51,Ecuador,Ecuador,942,1097,1658,1432,1221,1062,1157,1310,1308,1061,1168,1361,3051,7774,11427,14745,18570
8505,52,Egypt,Egypt,5113,6123,8277,7760,7736,8716,9386,8672,8693,8561,10622,14214,22320,27002,30162,32957,36705
220957,53,Eritrea,Eritrea,1530431,368832,363284,158432,181265,184213,198833,201744,223570,236059,266572,305998,337256,416996,469793,523770,565118
76,54,Spain,Spain,104,66,86,93,94,94,2484,76,115,143,165,178,401,135,147,168,232
116569,55,Estonia,Estonia,533,578,1220,1214,151540,136878,119957,110601,105101,101241,98013,94720,91660,372,365,352,322
89368,56,Ethiopia,Ethiopia,84145,82108,70518,73530,76281,81848,90738,95553,111645,117736,109473,121687,129729,149191,162777,162712,1303754
72,57,Finland,Finland,10,10,17,12,6,737,76,1401,2415,3133,3625,2030,2134,8,10,11,6
2021,58,Fiji,Fiji,2062,2649,2576,2109,1803,1752,1941,2069,2252,2151,1839,1585,1572,1691,1313,1306,1413
1102,59,France,France,126,105,171,182,877,1177,1028,1165,1243,1267,1333,1359,1401,140,178,175,184
141,61,Gabon,Gabon,49,78,87,74,80,138,135,162,192,206,224,249,282,313,415,614,891
444,62,United Kingdom,United Kingdom,184,190,241,216,191,403,428,418,410,404,404,406,417,227,248,190,237
290409,63,Georgia,Georgia,297962,287101,284414,279128,249850,249098,324047,451898,379369,379380,288631,294778,276737,277717,284164,290457,301070
6717,64,Ghana,Ghana,15761,15702,16844,17550,16443,20785,11116,15258,16241,22227,22875,27790,26072,29850,33705,27091,34474
10213,65,Guinea,Guinea,4023,5877,7244,7045,7276,9100,9508,11517,13749,14768,17827,23597,26197,33194,34863,41946,54858
2266,66,Gambia,Gambia,1035,1045,1152,1092,1134,2345,2278,2489,3138,3299,3780,4850,7223,15772,21321,30507,36797
1290,67,Guinea Bissau,Guinea-Bissau,2464,1668,1269,1210,1222,1300,1312,1342,1447,1478,1628,2091,2435,3115,3409,3535,5363
441,68,Equatorial Guinea,Equatorial Guinea,551,571,619,654,606,536,493,431,384,384,308,314,275,269,244,247,229
212,69,Greece,Greece,153,148,340,314,257,374,222,341,343,348,298,330,375,169,181,192,194
363,70,Grenada,Grenada,115,230,448,337,223,255,245,378,423,409,370,364,372,376,322,166,165
21159,71,Guatemala,Guatemala,125936,116409,110002,95321,63027,35229,27029,16187,14881,6708,7198,7720,15057,23290,40738,58781,88999
917,72,Guyana,Guyana,239,417,1125,1378,861,793,835,984,1052,920,877,879,940,845,738,572,733
1909,73,Honduras,Honduras,6228,1939,1922,1810,1751,1762,2393,2059,2166,2117,2814,3425,8594,14307,205406,224510,251392
106678,74,Croatia,Croatia,402678,336628,316029,257492,235884,132183,103443,129433,103646,91165,87128,87503,71013,56316,47724,41142,33200
32539,75,Haiti,Haiti,27306,29211,29905,25906,25483,27061,31378,35737,36015,33097,41131,46777,56142,73129,50310,75073,109287
3725,76,Hungary,Hungary,2480,5103,6642,4405,3348,3825,3371,2149,4041,5058,7339,4932,3296,1611,2152,4575,4988
22911,77,Indonesia,Indonesia,13576,13572,15228,39937,49875,39241,38001,21571,20536,17348,16460,16061,15916,16183,16611,16653,17848
27547,78,India,India,21215,21326,25406,25180,25065,28480,24567,26445,24236,22060,20985,21368,23934,28093,35140,35337,48485
14,79,Ireland,Ireland,7,10,12,16,12,25,8,10,12,15,18,99,119,97,51,46,53
78774,80,Iran,Iran (Islamic Rep. of),108973,106641,152744,137747,125403,112391,116298,80316,86526,84878,90826,100002,103899,118066,142057,181869,196422
4934243,81,Iraq,Iraq,583546,580327,466422,474100,552595,1895170,3629164,5021295,3798211,3481069,3172172,2322658,1641981,4105397,4915826,5611595,4809829
8,82,Iceland,Iceland,6,,13,15,16,62,34,123,138,119,110,124,124,5,3,3,
2489,83,Israel,Israel,776,976,1588,1575,1442,1258,1827,2531,2372,2109,1860,1772,1354,1268,1193,1045,1161
990,84,Italy,Italy,84,65,259,239,1105,1126,1008,818,872,958,1275,600,495,179,217,196,321
1010,85,Jamaica,Jamaica,212,322,627,671,638,779,933,1230,1491,1619,1839,1912,2142,2302,2705,3149,3647
2540,86,Jordan,Jordan,1512,1341,2020,1891,1892,2468,2386,2650,2901,2876,2786,3003,2650,3155,3783,4502,5640
2260,87,Japan,Japan,18,30,46,43,92,1834,2025,1790,1707,1557,1452,1318,1062,326,213,140,143
13640,88,Kazakhstan,Kazakhstan,3285,3679,7247,7453,65073,55500,53734,13013,11997,12344,11585,11426,10211,3478,3836,4601,5903
109277,89,Kenya,Kenya,8109,3281,13276,14141,15067,16084,106447,862617,517052,330595,330417,442499,30796,11535,12434,11112,13282
12174,90,Kyrgyzstan,Kyrgyzstan,6638,1073,3487,3752,3755,103493,13261,22867,27664,305476,209030,192164,15013,4360,4776,4943,5326
